"questionnaire","item","skewness","conf_correlation","reversed","inattention_d","ci_low","ci_high","AD","CIT","SW"
"OCI","ocir.2",0.239846537983021,0.105438009574146,FALSE,0.325728021068314,0.103576548629561,0.54752472879054,-0.00613470606081375,0.0297394257377381,0.00383355649101734
"OCI","ocir.3",0.551140133700597,0.14283620399117,FALSE,0.425480972975835,0.202565572566809,0.647935769292375,-0.0140226662618265,0.0339429930754937,0.011561874211813
"OCI","ocir.4",0.949194849745596,0.102453755402025,FALSE,0.597678559817985,0.373011647464193,0.821707514222181,-0.0073719633832808,0.0306000855435977,0.000663217139404237
"OCI","ocir.6",0.836656876410615,-0.0197374126230579,FALSE,0.201294052878241,-0.0201661327409574,0.422533841053666,0.00677341236533195,0.0398361448793182,0.00309955839556764
"OCI","ocir.7",1.10858016646634,-0.0358359129774449,FALSE,0.155647830659249,-0.0656321421240055,0.37675714734871,0.000918216199904074,0.0252808109702991,-0.00310417543952694
"OCI","ocir.9",0.500587062521742,0.0536549759711294,FALSE,0.264110270637809,0.0423376024139246,0.485594459070444,-0.00946548042265024,0.0290217952042674,0.0125645112593319
"OCI","ocir.11",1.41658370295391,0.15291084842336,FALSE,0.520986426295998,0.297166706470324,0.744246217053258,-0.0103742854942442,0.039246103997516,0.00110836168996629
"OCI","ocir.12",0.916855542659455,0.0448830996224046,FALSE,0.379184602629588,0.156646831304465,0.601310664591551,0.00252461315312748,0.0453632483519851,0.000809871972926878
"OCI","ocir.13",0.634727879576579,0.0121541631281874,FALSE,0.279528395019647,0.0576676386551316,0.501084018803532,-0.00314290154110744,0.0236894738851502,0.00425534843850133
"OCI","ocir.15",0.659184349374603,0.128980485197812,FALSE,0.480108419291599,0.256696324672464,0.703002840181771,-0.0155476891866105,0.0332597294784761,0.0108465112346326
"OCI","ocir.18",1.30515056867331,-0.00899600701775547,FALSE,0.247112759442738,0.0254319909201883,0.468523395469473,0.0055434508488451,0.0450435302313488,-0.00215425816537861
"BIS","bis.6",0.618267077137486,-0.062942912554136,FALSE,0.189237448779923,-0.0321712951107859,0.41043891473273,0.00912525432200789,0.0301859583960931,-0.00443302716543744
"BIS","bis.9",0.202746049529069,-0.118217610510194,TRUE,-0.115214188346018,-0.336241149496153,0.105939202746901,0.0211551566919331,0.00560323711594621,-0.00788213027290502
"BIS","bis.13",0.280457403902343,-0.0759137050253626,TRUE,-0.257079539944682,-0.478532623539327,-0.0353455473562833,0.0232638791096228,-0.0086853669918707,-0.0088719719882101
"BIS","bis.14",0.824303728535831,0.0529106536665057,FALSE,0.0162113255928645,-0.204763567438432,0.237168414548444,0.00733617644142489,0.0207775046507659,-0.0132500722223787
"BIS","bis.17",0.7344961791993,0.0926705750917163,FALSE,0.0559176019874836,-0.16510643687357,0.276880245247363,0.00921487134446079,0.0181214201092203,-0.0163895297790759
"BIS","bis.19",0.737327994107018,0.193832895466069,FALSE,0.183668445015101,-0.0377174793697943,0.404853146531754,0.00630986583384049,0.0163302822506748,-0.0172055414041425
"BIS","bis.20",0.27469548295379,-0.0532065901144065,TRUE,0.0311054955082426,-0.189884305148779,0.252061116983942,0.015146494425116,0.00129341933666975,-0.00655219626576073
"BIS","bis.22",0.620526247085974,-0.0240101132061701,FALSE,0.0118680590111357,-0.20910327418757,0.23282636771337,0.00671137924774963,0.0169691985931702,-0.0103557634101392
"BIS","bis.25",1.26044788651272,0.113295983038423,FALSE,0.217593960605858,-0.00394013870096621,0.438889950128714,0.0124452239724359,0.0142073731629459,-0.0115475720954906
"EAT","eat.1",0.0551827069993066,0.0298479549476188,FALSE,-0.264386685493397,-0.48587210105145,-0.0426124696871926,-0.003809791226199,0.0280204518463981,0.0043196254040171
"EAT","eat.11",-0.11745700983801,0.09869865710585,FALSE,0.0238073138908506,-0.197174655168584,0.244763127690841,-0.00427711934362197,0.033033591773549,0.00532113846325232
"AES","apathy.1",0.631917809975475,-0.0664242903910978,TRUE,0.134444235634917,-0.086765451843295,0.355506473369574,0.0246837186763249,-0.00596888720507037,0.00149445876430473
"AES","apathy.2",0.445752501888014,-0.152261431216475,TRUE,-0.098223193854237,-0.319224856869186,0.122886285403889,0.0307789734950547,-0.00886249150023471,-0.00513075635365447
"AES","apathy.7",-0.0901688724827295,-0.19167530935307,TRUE,-0.390794452864253,-0.612999154702431,-0.168165723526089,0.0271230621649912,-0.0239417460157228,0.00975019696849675
"AES","apathy.8",0.606524726343017,-0.119675878132433,TRUE,-0.0626035013819696,-0.283570014770834,0.158431766209917,0.0206439506119964,-0.00241511900364209,-0.00690706836968189
"AES","apathy.16",0.576124791239974,-0.0963366041299217,TRUE,-0.191502837806676,-0.41271128863378,0.0299153643222459,0.0243724824946058,-0.00975892761384632,-0.00731391520158142
"AES","apathy.17",0.303914368071238,-0.199661931055181,TRUE,-0.18188206393657,-0.403061507459757,0.0394966641001773,0.0440963272422447,-0.0213751668468989,0.00155382792218914
"AES","apathy.18",0.297064389507783,-0.221216796114702,TRUE,-0.345122476919796,-0.567032445100924,-0.122837027939483,0.050243444924185,-0.0245143383707521,0.000778746863205815
